column_label,STNAME,AGENCY,POP,GROUP,total_arrests_race_data,total_White_arrests,total_African_American_arrests,total_violent_arrests,total_marijuana_possession_arrests_race_data,total_White_marijuana_possession_arrests,total_African_American_marijuana_possession_arrests,total_marijuana_possession_and_sale_arrests_race_data,total_White_marijuana_possession_and_sale_arrests,total_African_American_marijuana_possession_and_sale_arrests,total_non_violent_non_drug_misdemeanor_arrests_race_data,total_White_non_drug_misdemeanor_arrests,total_African_American_non_drug_misdemeanor_arrests
UCR_2015,CALIF,SAN JOSE,1031458,1A,22506,17454,2716,5548,89,75,9,246,180,29,1123,961,97
UCR_2015,CALIF,SANTA ANA,337304,1C,11721,10718,663,2203,117,116,0,137,131,0,928,879,39
UCR_2015,CALIF,STOCKTON,304890,1C,7394,4375,2415,2407,33,19,8,96,56,25,974,634,252
UCR_2015,COLO,AURORA,360237,1C,22554,13518,8536,5750,302,178,120,415,259,139,3150,1679,1407
UCR_2015,COLO,COLORADO SPRINGS,452410,1C,23559,18977,4156,5945,271,218,50,282,227,52,1571,1202,332
UCR_2015,COLO,DENVER,682418,1B,38050,27106,9966,9746,1020,741,253,1078,783,264,5601,3871,1421
UCR_2015,GA,ATLANTA,464710,1C,32603,3807,28648,6845,2794,143,2643,2927,158,2760,6891,1027,5828
UCR_2015,ILL,CHICAGO,2728695,1A,84215,22707,60895,30058,NA,NA,NA,NA,NA,NA,8583,3115,5414
UCR_2015,IND,INDIANAPOLIS,863675,1B,39620,18161,21271,11545,NA,NA,NA,NA,NA,NA,2179,1145,995
UCR_2015,KANS,WICHITA,389824,1C,11561,7690,3661,5137,445,256,181,478,270,199,864,535,309
UCR_2015,KY,LOUISVILLE METRO,680550,1B,57291,32338,24676,9864,3267,1392,1855,3362,1435,1905,2342,1272,1059
UCR_2015,MASS,BOSTON,665258,1B,16109,7546,8244,6388,47,16,29,263,74,177,781,328,430
UCR_2015,MD,BALTIMORE,621252,1B,46276,7273,38676,11397,499,22,475,533,26,505,1195,145,1044
UCR_2015,MICH,DETROIT,673225,1B,14292,1566,12707,4802,686,22,663,868,30,837,532,58,473
UCR_2015,MINN,MINNEAPOLIS,413479,1C,18885,5665,11587,5048,740,195,510,754,198,521,3336,1101,1929
UCR_2015,MINN,ST. PAUL,300721,1C,11607,3743,5882,3472,337,77,218,339,78,219,923,297,507
UCR_2015,MO,KANSAS CITY,473373,1C,12755,5343,7334,4990,768,266,499,780,270,507,1245,540,699
UCR_2015,MO,ST. LOUIS,317095,1C,25308,6969,18220,6037,158,10,147,162,10,151,4203,1348,2840
UCR_2015,N C,CHARLOTTE-MECKLENBURG,877817,1B,32022,9090,22614,11531,2164,572,1576,2402,599,1781,869,228,635
UCR_2015,N C,GREENSBORO,285950,1C,14175,3927,10038,5275,171,45,123,205,50,152,1079,306,753
UCR_2015,N J,NEWARK,280888,1C,10816,2756,7888,1765,371,61,310,490,82,408,894,251,642
UCR_2015,N MEX,ALBUQUERQUE,559721,1B,23957,19384,1835,11120,62,49,8,72,59,8,1455,1056,130
UCR_2015,N Y,BUFFALO,258096,1C,13358,5226,7959,5196,NA,NA,NA,NA,NA,NA,1116,377,720
UCR_2015,NEBR,LINCOLN,276585,1C,17888,13401,3914,4351,1267,958,285,1306,991,291,2277,1718,465
UCR_2015,NEV,HENDERSON,282554,1C,10712,8316,2079,2730,340,259,73,343,261,74,245,193,49
UCR_2015,NEV,LAS VEGAS METRO PD,1562134,1A,79194,47565,28575,19753,2915,1486,1365,3231,1616,1543,4562,3157,1243
UCR_2015,OHIO,CLEVELAND,387921,1C,8113,2014,6080,3783,139,11,128,147,11,136,319,77,240
UCR_2015,OHIO,COLUMBUS,847745,1B,11040,5188,5800,2738,217,59,157,226,61,164,643,335,302
UCR_2015,OKLA,OKLAHOMA CITY,630621,1B,28824,17333,10010,6569,1823,961,796,1934,1023,841,3349,1861,1111
UCR_2015,OKLA,TULSA,401520,1C,18408,11727,5740,6344,548,316,213,683,368,294,2944,1815,845
UCR_2015,PA,PHILADELPHIA,1567810,1A,92827,31175,60828,18843,784,151,630,2346,436,1899,14064,3359,10582
UCR_2015,PA,PITTSBURGH,306870,1C,16754,7534,9146,4840,707,186,519,817,210,605,2330,1352,962
UCR_2015,TENN,MEMPHIS,657936,1B,40532,5830,34390,12115,1241,112,1121,1762,148,1604,4051,668,3337
UCR_2015,TEXAS,ARLINGTON,387565,1C,17892,10663,6959,5687,1210,616,579,1221,623,583,1405,1009,377
UCR_2015,TEXAS,AUSTIN,938728,1B,41705,30614,10583,8300,2207,1489,698,2244,1504,720,3274,2747,470
UCR_2015,TEXAS,CORPUS CHRISTI,324326,1C,27640,24745,2812,3800,1106,986,115,1118,997,116,5512,5004,496
UCR_2015,TEXAS,DALLAS,1301977,1A,35033,17668,16971,10762,1654,596,1052,1696,609,1081,5424,3538,1793
UCR_2015,TEXAS,EL PASO,686077,1B,26092,23909,2123,7300,1910,1733,175,1962,1777,183,2300,2170,129
UCR_2015,TEXAS,FORT WORTH,829731,1B,32754,20465,12003,10608,1139,577,552,1177,595,572,4302,3184,1057
UCR_2015,TEXAS,HOUSTON,2275221,1A,73431,31593,39525,18177,2291,882,1332,2354,905,1372,3687,1770,1778
